year,ranking,album,writer
1971,399,The Temptations 'Just My Imagination',Norman Whitfield  Barrett Strong
1971,468,The Staple Singers 'Respect Yourself',Luther Ingram  Mack Rice
1971,487,Alice Cooper 'I'm Eighteen',Michael Bruce  Glen Buxton  Cooper  Dennis Dunway  Neal Smith
1971,495,The Rolling Stones 'Brown Sugar',Mick Jagger  Keith Richards
1972,73,Stevie Wonder 'Superstition',Wonder
1972,98,Al Green 'Love and Happiness',Green  Mabon  Teenie  Hodges
1972,169,The Temptations 'Papa Was a Rollin' Stone',Norman Whitfield  Barrett Strong
1972,208,Bill Withers 'Lean on Me',Withers
1972,223,Lou Reed 'Walk on the Wild Side',Reed
1972,245,Elton John 'Rocket Man',John  Bernie Taupin
1972,256,Mott the Hoople 'All the Young Dudes',David Bowie
1972,268,Randy Newman 'Sail Away',Newman
1972,281,The Staple Singers I'll Take You There,Alvertis Isbell (Al Bell)
1972,282,David Bowie 'Ziggy Stardust',Bowie
1972,287,Stevie Wonder 'You Are the Sunshine of My Life',Wonder
1972,303,Neil Young 'Heart of Gold',Young
1972,326,Alice Cooper 'School's Out',Michael Bruce  Glen Buxton  Cooper  Dennis Dunway  Neal Smith
1972,406,Big Star 'Thirteen',Alex Chilton  Chris Bell
1972,433,Rolling Stones 'Tumbling Dice',Mick Jagger  Keith Richards
1973,105,Stevie Wonder 'Living for the City',Wonder
1973,168,Marvin Gaye 'Let's Get It On',Gaye  Ed Townsend
1973,173,Aerosmith 'Dream On',Steven Tyler
1973,192,Bob Dylan 'Knockin' on Heaven's Door',Dylan
1973,193,Lynyrd Skynyrd 'Free Bird',Allen Collins Ronnie Van Zant
1973,265,Stevie Wonder 'Higher Ground',Wonder
1973,271,New York Dolls 'Personality Crisis',David Johansen  Johnny Thunders
1973,356,Elton John 'Candle in the Wind',John  Bernie Taupin
1973,357,The Isley Brothers 'That Lady (Part 1 and 2)',The Isley Brothers
1973,369,Roberta Flack 'Killing Me Softly With His Song',Norman Gimbel  Charles Fox
1973,390,Elton John 'Goodbye Yellow Brick Road',John  Bernie Taupin
1973,429,Billy Joel 'Piano Man',Joel
1973,434,Deep Purple 'Smoke on the Water',Ritchie Blackmore  Ian Gillian  Roger Glover  Jon Lord  Ian Paice
1973,439,Gladys Knight and the Pips 'Midnight Train to Georgia',Jim Weatherly
1973,450,Bob Marley and the Wailers 'I Shot the Sheriff',Marley
1973,453,Toots and the Maytals 'Pressure Drop',Toots Hibbert
1974,117,Al Green 'Take Me to the River',Green  Mabon Hodges
1974,180,Big Star 'September Gurls',Alex Chilton
1974,219,Dolly Parton 'Jolene',Parton
1974,288,Joni Mitchell 'Help Me',Mitchell
1974,407,Lynyrd Skynyrd 'Sweet Home Alabama',Ed King  Gary Rossington  Ronnie Van Zant
1975,21,Bruce Springsteen 'Born to Run',Springsteen
1975,37,Bob Marley 'No Woman No Cry',Vincent Ford  Marley
1975,68,Bob Dylan 'Tangled Up in Blue',Dylan
1975,86,Bruce Springsteen 'Thunder Road',Springsteen
1975,141,Led Zeppelin 'Kashmir',John Bonham  Jimmy Page  Robert Plant
1975,166,Queen 'Bohemian Rhapsody',Freddie Mercury
1975,302,Bob Marley and the Wailers 'Get Up Stand Up',Bob Marley  Peter Tosh
1975,309,Willie Nelson 'Blue Eyes Crying in the Rain',Fred Rose
1975,324,Pink Floyd 'Wish You Were Here',David Gilmour  Roger Waters
1975,329,Neil Young 'Cortez the Killer',Young
1975,350,Jimmy Cliff 'The Harder They Come',Cliff
1975,416,Aerosmith 'Sweet Emotion',Steven Tyler  Tom Hamilton
1975,485,LaBelle 'Lady Marmalade',Bob Crewe  Kenny Nolan
1975,486,David Bowie 'Young Americans',Bowie
1976,49,The Eagles 'Hotel California',Don Felder  Glenn Frey  Don Henley
1976,92,Ramones 'Blitzkrieg Bop',The Ramones
1976,174,Abba 'Dancing Queen',Benny Andersson Bj rn Ulvaeus  Stig Anderson
1976,274,The Modern Lovers 'Roadrunner',Jonathan Richman
1976,346,Aerosmith 'Walk This Way',Steven Tyler  Joe Perry
1976,405,Blue ?yster Cult '(Don't Fear) the Reaper',Donald Roeser
1977,46,David Bowie 'Heroes',Bowie  Brian Eno
1977,56,The Sex Pistols 'Anarchy in the U.K.',Paul Cook  Steve Jones  Glen Matlock  Johnny Rotten
1977,120,Fleetwood Mac 'Go Your Own Way',Lindsey Buckingham
1977,149,Iggy Pop 'Lust for Life',David Bowie  Pop
1977,175,The Sex Pistols 'God Save the Queen',Johnny Rotten  Steve Jones  Glen Matlock  Paul Cook
1977,191,Bee Gees 'Stayin' Alive',Robin Gibb  Barry Gibb  Maurice Gibb
1977,202,Parliament 'Flash Light',George Clinton  Bernie Worrell  Bootsy Collins
1977,323,Elvis Costello 'Alison',Costello
1977,338,Queen 'We Will Rock You',Brian May  Mike Stone
1977,363,Elvis Costello 'Watching the Detectives',Costello
1977,375,Bee Gees 'How Deep Is Your Love',Bee Gees
1977,381,Television 'Marquee Moon',Tom Verlaine
1977,418,Donna Summer 'I Feel Love',Summer  Giorgio Moroder  Pete Bellotte
1977,461,Ramones 'Sheena Is a Punk Rocker',Ramones
1977,496,Jackson Browne 'Running on Empty',Browne
1978,145,Ramones 'I Wanna Be Sedated',Ramones
1978,259,Blondie 'Heart of Glass',Deborah Harry  Chris Stein
1978,305,Blondie 'One Way or Another',Deborah Harry  Nigel Harrison
1978,308,Rod Stewart 'Da Ya Think I'm Sexy?',Stewart  Carmine Appice
1978,443,The Rolling Stones 'Beast of Burden',Mick Jagger  Keith Richards
1978,471,Cheap Trick 'Surrender',Rick Nielsen
1978,492,Gloria Gaynor 'I Will Survive',Dino Fekaris  Freddie Perren
1978,498,The Rolling Stones 'Miss You',Mick Jagger  Keith Richards
1979,104,Donna Summer 'Hot Stuff',Pete Bellotte  Harold Faltermeyer  Keith Forsey
